ALBUM           |  Return
ALBUMARTIST     |  iKON
ALBUMSORT       |  Return
ARTIST          |  iKON
ARTISTSORT      |  iKON
COMPILATION     |  0
COPYRIGTH       |  ℗ 2018 YG Entertainment
DISCNUMBER      |  1
GENRE           |  K-Pop
ITUNESADVISORY  |  0
ITUNESALBUMID   |  1339623377
ITUNESARTISTID  |  1044506362
ITUNESCATALOGID |  1339624033
ITUNESGENREID   |  14
ITUNESGAPLESS   |  0
ITUNESMEDIATYPE |  Normal
TITLE           |  JERK
TITLESORT       |  JERK
TOTALDISCS      |  1
TOTALTRACKS     |  12
TRACK           |  4
YEAR            |  2018-01-25T12:00:00Z
